chage: changed password expiry for user1
chage: changed password expiry for user2
chage: changed password expiry for user3
chfn: changed user 'user2' information
chfn: changed user 'user3' information
chpasswd: pam_unix(chpasswd:chauthtok): password changed for root
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
dbus-daemon: [system] Failed to activate service 'org.freedesktop.fwupd': timed out (service_start_timeout=25000ms)
gpasswd: members of group users set by root to user2
gpasswd: members of group users set by root to user2,user3
groupadd: group added to /etc/group: name=custom, GID=1004
groupadd: group added to /etc/group: name=user2, GID=1002
groupadd: group added to /etc/group: name=user3, GID=1003
groupadd: group added to /etc/gshadow: name=custom
groupadd: group added to /etc/gshadow: name=user2
groupadd: group added to /etc/gshadow: name=user3
groupadd: new group: name=custom, GID=1004
groupadd: new group: name=user2, GID=1002
groupadd: new group: name=user3, GID=1003
login: PAM adding faulty module: pam_lastlog.so
login: PAM unable to dlopen(pam_lastlog.so): /usr/lib/security/pam_lastlog.so: cannot open shared object file: No such file or directory
login: pam_unix(login:session): session opened for user tech(uid=1000) by tech(uid=0)
nologin: Attempted login by root (UID: 1003) on /dev/pts/1
nologin: Attempted login by root (UID: 1003) on /dev/pts/1
nologin: Attempted login by root (UID: 1003) on /dev/pts/1
nologin: Attempted login by root (UID: 1003) on /dev/pts/1
passwd: pam_unix(passwd:chauthtok): new password not acceptable
passwd: pam_unix(passwd:chauthtok): password changed for root
passwd: pam_unix(passwd:chauthtok): password changed for user1
passwd: pam_unix(passwd:chauthtok): password changed for user1
passwd: pam_unix(passwd:chauthtok): password changed for user2
passwd: pam_unix(passwd:chauthtok): password changed for user2
passwd: pam_unix(passwd:chauthtok): password changed for user3
passwd: pam_unix(passwd:chauthtok): password changed for user3
passwd: password for 'tech' changed by 'root'
polkitd: Acquired the name org.freedesktop.PolicyKit1 on the system bus
polkitd: Acquired the name org.freedesktop.PolicyKit1 on the system bus
polkitd: Acquired the name org.freedesktop.PolicyKit1 on the system bus
polkitd: Acquired the name org.freedesktop.PolicyKit1 on the system bus
polkitd: Acquired the name org.freedesktop.PolicyKit1 on the system bus
polkitd: Acquired the name org.freedesktop.PolicyKit1 on the system bus
polkitd: Acquired the name org.freedesktop.PolicyKit1 on the system bus
polkitd: Acquired the name org.freedesktop.PolicyKit1 on the system bus
polkitd: Acquired the name org.freedesktop.PolicyKit1 on the system bus
polkitd: Acquired the name org.freedesktop.PolicyKit1 on the system bus
polkitd: Collecting garbage unconditionally...
polkitd: Collecting garbage unconditionally...
polkitd: Collecting garbage unconditionally...
polkitd: Collecting garbage unconditionally...
polkitd: Collecting garbage unconditionally...
polkitd: Collecting garbage unconditionally...
polkitd: Collecting garbage unconditionally...
polkitd: Collecting garbage unconditionally...
polkitd: Collecting garbage unconditionally...
polkitd: Collecting garbage unconditionally...
polkitd: Collecting garbage unconditionally...
polkitd: Collecting garbage unconditionally...
polkitd: Finished loading, compiling and executing 6 rules
polkitd: Finished loading, compiling and executing 6 rules
polkitd: Finished loading, compiling and executing 6 rules
polkitd: Finished loading, compiling and executing 6 rules
polkitd: Finished loading, compiling and executing 6 rules
polkitd: Finished loading, compiling and executing 6 rules
polkitd: Finished loading, compiling and executing 6 rules
polkitd: Finished loading, compiling and executing 6 rules
polkitd: Finished loading, compiling and executing 6 rules
polkitd: Finished loading, compiling and executing 6 rules
polkitd: Finished loading, compiling and executing 6 rules
polkitd: Finished loading, compiling and executing 6 rules
polkitd: Finished loading, compiling and executing 6 rules
polkitd: Finished loading, compiling and executing 6 rules
polkitd: Finished loading, compiling and executing 6 rules
polkitd: Finished loading, compiling and executing 6 rules
polkitd: Finished loading, compiling and executing 6 rules
polkitd: Finished loading, compiling and executing 6 rules
polkitd: Finished loading, compiling and executing 6 rules
polkitd: Finished loading, compiling and executing 6 rules
polkitd: Finished loading, compiling and executing 6 rules
polkitd: Finished loading, compiling and executing 6 rules
polkitd: Loading rules from directory /etc/polkit-1/rules.d
polkitd: Loading rules from directory /etc/polkit-1/rules.d
polkitd: Loading rules from directory /etc/polkit-1/rules.d
polkitd: Loading rules from directory /etc/polkit-1/rules.d
polkitd: Loading rules from directory /etc/polkit-1/rules.d
polkitd: Loading rules from directory /etc/polkit-1/rules.d
polkitd: Loading rules from directory /etc/polkit-1/rules.d
polkitd: Loading rules from directory /etc/polkit-1/rules.d
polkitd: Loading rules from directory /etc/polkit-1/rules.d
polkitd: Loading rules from directory /etc/polkit-1/rules.d
polkitd: Loading rules from directory /etc/polkit-1/rules.d
polkitd: Loading rules from directory /etc/polkit-1/rules.d
polkitd: Loading rules from directory /etc/polkit-1/rules.d
polkitd: Loading rules from directory /etc/polkit-1/rules.d
polkitd: Loading rules from directory /etc/polkit-1/rules.d
polkitd: Loading rules from directory /etc/polkit-1/rules.d
polkitd: Loading rules from directory /etc/polkit-1/rules.d
polkitd: Loading rules from directory /etc/polkit-1/rules.d
polkitd: Loading rules from directory /etc/polkit-1/rules.d
polkitd: Loading rules from directory /etc/polkit-1/rules.d
polkitd: Loading rules from directory /etc/polkit-1/rules.d
polkitd: Loading rules from directory /etc/polkit-1/rules.d
polkitd: Loading rules from directory /usr/share/polkit-1/rules.d
polkitd: Loading rules from directory /usr/share/polkit-1/rules.d
polkitd: Loading rules from directory /usr/share/polkit-1/rules.d
polkitd: Loading rules from directory /usr/share/polkit-1/rules.d
polkitd: Loading rules from directory /usr/share/polkit-1/rules.d
polkitd: Loading rules from directory /usr/share/polkit-1/rules.d
polkitd: Loading rules from directory /usr/share/polkit-1/rules.d
polkitd: Loading rules from directory /usr/share/polkit-1/rules.d
polkitd: Loading rules from directory /usr/share/polkit-1/rules.d
polkitd: Loading rules from directory /usr/share/polkit-1/rules.d
polkitd: Loading rules from directory /usr/share/polkit-1/rules.d
polkitd: Loading rules from directory /usr/share/polkit-1/rules.d
polkitd: Loading rules from directory /usr/share/polkit-1/rules.d
polkitd: Loading rules from directory /usr/share/polkit-1/rules.d
polkitd: Loading rules from directory /usr/share/polkit-1/rules.d
polkitd: Loading rules from directory /usr/share/polkit-1/rules.d
polkitd: Loading rules from directory /usr/share/polkit-1/rules.d
polkitd: Loading rules from directory /usr/share/polkit-1/rules.d
polkitd: Loading rules from directory /usr/share/polkit-1/rules.d
polkitd: Loading rules from directory /usr/share/polkit-1/rules.d
polkitd: Loading rules from directory /usr/share/polkit-1/rules.d
polkitd: Loading rules from directory /usr/share/polkit-1/rules.d
polkitd: Reloading rules
polkitd: Reloading rules
polkitd: Reloading rules
polkitd: Reloading rules
polkitd: Reloading rules
polkitd: Reloading rules
polkitd: Reloading rules
polkitd: Reloading rules
polkitd: Reloading rules
polkitd: Reloading rules
polkitd: Reloading rules
polkitd: Reloading rules
(sd-pam): pam_unix(systemd-user:session): session closed for user root
(sd-pam): pam_unix(systemd-user:session): session closed for user root
sshd: Accepted password for root from 172.16.8.4 port 33982 ssh2
sshd: Accepted password for root from 172.16.8.4 port 33990 ssh2
sshd: Accepted password for root from 172.16.8.4 port 34490 ssh2
sshd: Accepted password for root from 172.16.8.4 port 34500 ssh2
sshd: Accepted password for root from 172.16.8.4 port 35290 ssh2
sshd: Accepted password for root from 172.16.8.4 port 35302 ssh2
sshd: Accepted password for root from 172.16.8.4 port 35464 ssh2
sshd: Accepted password for root from 172.16.8.4 port 36948 ssh2
sshd: Accepted password for root from 172.16.8.4 port 37268 ssh2
sshd: Accepted password for root from 172.16.8.4 port 38156 ssh2
sshd: Accepted password for root from 172.16.8.4 port 38158 ssh2
sshd: Accepted password for root from 172.16.8.4 port 39948 ssh2
sshd: Accepted password for root from 172.16.8.4 port 39962 ssh2
sshd: Accepted password for root from 172.16.8.4 port 41024 ssh2
sshd: Accepted password for root from 172.16.8.4 port 45358 ssh2
sshd: Accepted password for root from 172.16.8.4 port 49422 ssh2
sshd: Accepted password for root from 172.16.8.4 port 49436 ssh2
sshd: Accepted password for root from 172.16.8.4 port 49762 ssh2
sshd: Accepted password for root from 172.16.8.4 port 49778 ssh2
sshd: Accepted password for root from 172.16.8.4 port 52878 ssh2
sshd: Accepted password for root from 172.16.8.4 port 52880 ssh2
sshd: Accepted password for root from 172.16.8.4 port 53992 ssh2
sshd: Accepted password for root from 172.16.8.4 port 54248 ssh2
sshd: Accepted password for root from 172.16.8.4 port 54978 ssh2
sshd: Accepted password for root from 172.16.8.4 port 54988 ssh2
sshd: Accepted password for root from 172.16.8.4 port 55008 ssh2
sshd: Accepted password for root from 172.16.8.4 port 55452 ssh2
sshd: Accepted password for root from 172.16.8.4 port 56750 ssh2
sshd: Accepted password for root from 172.16.8.4 port 58140 ssh2
sshd: Accepted password for root from 172.16.8.4 port 59182 ssh2
sshd: Accepted password for root from 172.16.8.4 port 59186 ssh2
sshd: Accepted publickey for root from 172.16.8.4 port 35784 ssh2: RSA SHA256:LRieO1sQrbmVb+5nU3Yu3GL/lA9vrkE+pq45aF/KEDI
sshd: Accepted publickey for root from 172.16.8.4 port 38180 ssh2: RSA SHA256:LRieO1sQrbmVb+5nU3Yu3GL/lA9vrkE+pq45aF/KEDI
sshd: Accepted publickey for root from 172.16.8.4 port 41976 ssh2: RSA SHA256:LRieO1sQrbmVb+5nU3Yu3GL/lA9vrkE+pq45aF/KEDI
sshd: Accepted publickey for root from 172.16.8.4 port 42560 ssh2: RSA SHA256:LRieO1sQrbmVb+5nU3Yu3GL/lA9vrkE+pq45aF/KEDI
sshd: Accepted publickey for root from 172.16.8.4 port 43106 ssh2: RSA SHA256:LRieO1sQrbmVb+5nU3Yu3GL/lA9vrkE+pq45aF/KEDI
sshd: Accepted publickey for root from 172.16.8.4 port 46944 ssh2: RSA SHA256:LRieO1sQrbmVb+5nU3Yu3GL/lA9vrkE+pq45aF/KEDI
sshd: Accepted publickey for root from 172.16.8.4 port 47158 ssh2: RSA SHA256:LRieO1sQrbmVb+5nU3Yu3GL/lA9vrkE+pq45aF/KEDI
sshd: Accepted publickey for root from 172.16.8.4 port 48162 ssh2: RSA SHA256:LRieO1sQrbmVb+5nU3Yu3GL/lA9vrkE+pq45aF/KEDI
sshd: Accepted publickey for root from 172.16.8.4 port 48762 ssh2: RSA SHA256:LRieO1sQrbmVb+5nU3Yu3GL/lA9vrkE+pq45aF/KEDI
sshd: Accepted publickey for root from 172.16.8.4 port 48852 ssh2: RSA SHA256:LRieO1sQrbmVb+5nU3Yu3GL/lA9vrkE+pq45aF/KEDI
sshd: Accepted publickey for root from 172.16.8.4 port 50634 ssh2: RSA SHA256:LRieO1sQrbmVb+5nU3Yu3GL/lA9vrkE+pq45aF/KEDI
sshd: Accepted publickey for root from 172.16.8.4 port 50730 ssh2: RSA SHA256:LRieO1sQrbmVb+5nU3Yu3GL/lA9vrkE+pq45aF/KEDI
sshd: Accepted publickey for root from 172.16.8.4 port 51104 ssh2: RSA SHA256:LRieO1sQrbmVb+5nU3Yu3GL/lA9vrkE+pq45aF/KEDI
sshd: Accepted publickey for root from 172.16.8.4 port 53408 ssh2: RSA SHA256:LRieO1sQrbmVb+5nU3Yu3GL/lA9vrkE+pq45aF/KEDI
sshd: Accepted publickey for root from 172.16.8.4 port 54096 ssh2: RSA SHA256:LRieO1sQrbmVb+5nU3Yu3GL/lA9vrkE+pq45aF/KEDI
sshd: Accepted publickey for root from 172.16.8.4 port 54734 ssh2: RSA SHA256:LRieO1sQrbmVb+5nU3Yu3GL/lA9vrkE+pq45aF/KEDI
sshd: Accepted publickey for root from 172.16.8.4 port 55212 ssh2: RSA SHA256:LRieO1sQrbmVb+5nU3Yu3GL/lA9vrkE+pq45aF/KEDI
sshd: Accepted publickey for root from 172.16.8.4 port 58712 ssh2: RSA SHA256:LRieO1sQrbmVb+5nU3Yu3GL/lA9vrkE+pq45aF/KEDI
sshd: Accepted publickey for root from 172.16.8.4 port 58742 ssh2: RSA SHA256:LRieO1sQrbmVb+5nU3Yu3GL/lA9vrkE+pq45aF/KEDI
sshd: Accepted publickey for root from 172.16.8.4 port 60310 ssh2: RSA SHA256:LRieO1sQrbmVb+5nU3Yu3GL/lA9vrkE+pq45aF/KEDI
sshd: Accepted publickey for root from 172.16.8.4 port 60482 ssh2: RSA SHA256:LRieO1sQrbmVb+5nU3Yu3GL/lA9vrkE+pq45aF/KEDI
sshd: Connection closed by authenticating user root 172.16.8.4 port 33520 [preauth]
sshd: Connection closed by authenticating user root 172.16.8.4 port 36928 [preauth]
sshd: Connection closed by authenticating user root 172.16.8.4 port 36936 [preauth]
sshd: Connection closed by authenticating user root 172.16.8.4 port 37232 [preauth]
sshd: Connection closed by authenticating user root 172.16.8.4 port 49582 [preauth]
sshd: Disconnected from user root 172.16.8.4 port 35464
sshd: Disconnected from user root 172.16.8.4 port 35784
sshd: Disconnected from user root 172.16.8.4 port 36948
sshd: Disconnected from user root 172.16.8.4 port 38180
sshd: Disconnected from user root 172.16.8.4 port 41976
sshd: Disconnected from user root 172.16.8.4 port 42560
sshd: Disconnected from user root 172.16.8.4 port 43106
sshd: Disconnected from user root 172.16.8.4 port 46944
sshd: Disconnected from user root 172.16.8.4 port 47158
sshd: Disconnected from user root 172.16.8.4 port 48162
sshd: Disconnected from user root 172.16.8.4 port 48852
sshd: Disconnected from user root 172.16.8.4 port 50634
sshd: Disconnected from user root 172.16.8.4 port 50730
sshd: Disconnected from user root 172.16.8.4 port 51104
sshd: Disconnected from user root 172.16.8.4 port 53408
sshd: Disconnected from user root 172.16.8.4 port 53992
sshd: Disconnected from user root 172.16.8.4 port 54096
sshd: Disconnected from user root 172.16.8.4 port 54734
sshd: Disconnected from user root 172.16.8.4 port 55212
sshd: Disconnected from user root 172.16.8.4 port 58712
sshd: Disconnected from user root 172.16.8.4 port 58742
sshd: Disconnected from user root 172.16.8.4 port 60310
sshd: Disconnected from user root 172.16.8.4 port 60482
sshd: Failed password for root from 172.16.8.4 port 33520 ssh2
sshd: Failed password for root from 172.16.8.4 port 37232 ssh2
sshd: Failed password for root from 172.16.8.4 port 37232 ssh2
sshd: Failed password for root from 172.16.8.4 port 49582 ssh2
sshd: Failed password for root from 172.16.8.4 port 55452 ssh2
sshd: PAM 1 more authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=172.16.8.4  user=root
sshd: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=172.16.8.4  user=root
sshd: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=172.16.8.4  user=root
sshd: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=172.16.8.4  user=root
sshd: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=172.16.8.4  user=root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session closed for user root
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: pam_unix(sshd:session): session opened for user root(uid=0) by root(uid=0)
sshd: Received disconnect from 172.16.8.4 port 35464:11: disconnected by user
sshd: Received disconnect from 172.16.8.4 port 35784:11: disconnected by user
sshd: Received disconnect from 172.16.8.4 port 36948:11: disconnected by user
sshd: Received disconnect from 172.16.8.4 port 38180:11: disconnected by user
sshd: Received disconnect from 172.16.8.4 port 41976:11: disconnected by user
sshd: Received disconnect from 172.16.8.4 port 42560:11: disconnected by user
sshd: Received disconnect from 172.16.8.4 port 43106:11: disconnected by user
sshd: Received disconnect from 172.16.8.4 port 46944:11: disconnected by user
sshd: Received disconnect from 172.16.8.4 port 47158:11: disconnected by user
sshd: Received disconnect from 172.16.8.4 port 48162:11: disconnected by user
sshd: Received disconnect from 172.16.8.4 port 48852:11: disconnected by user
sshd: Received disconnect from 172.16.8.4 port 50634:11: disconnected by user
sshd: Received disconnect from 172.16.8.4 port 50730:11: disconnected by user
sshd: Received disconnect from 172.16.8.4 port 51104:11: disconnected by user
sshd: Received disconnect from 172.16.8.4 port 53408:11: disconnected by user
sshd: Received disconnect from 172.16.8.4 port 53992:11: disconnected by user
sshd: Received disconnect from 172.16.8.4 port 54096:11: disconnected by user
sshd: Received disconnect from 172.16.8.4 port 54734:11: disconnected by user
sshd: Received disconnect from 172.16.8.4 port 55212:11: disconnected by user
sshd: Received disconnect from 172.16.8.4 port 58712:11: disconnected by user
sshd: Received disconnect from 172.16.8.4 port 58742:11: disconnected by user
sshd: Received disconnect from 172.16.8.4 port 60310:11: disconnected by user
sshd: Received disconnect from 172.16.8.4 port 60482:11: disconnected by user
sshd: Received signal 15; terminating.
sshd: Received signal 15; terminating.
sshd: Received signal 15; terminating.
sshd: Server listening on :: port 22.
sshd: Server listening on :: port 22.
sshd: Server listening on :: port 22.
sshd: Server listening on :: port 22.
sshd: Server listening on :: port 22.
sshd: Server listening on :: port 22.
sshd: ssh_dispatch_run_fatal: Connection from 172.16.8.4 port 52962: Broken pipe [preauth]
sudo: pam_unix(sudo:auth): authentication failure; logname=root uid=1004 euid=0 tty=/dev/pts/1 ruser=user1 rhost=  user=user1
sudo: pam_unix(sudo:session): session closed for user root
sudo: pam_unix(sudo:session): session closed for user root
sudo: pam_unix(sudo:session): session closed for user root
sudo: pam_unix(sudo:session): session opened for user root(uid=0) by root(uid=1004)
sudo: pam_unix(sudo:session): session opened for user root(uid=0) by root(uid=1004)
sudo: pam_unix(sudo:session): session opened for user root(uid=0) by tech(uid=1000)
sudo:     tech : TTY=tty1 ; PWD=/home/tech ; USER=root ; COMMAND=/usr/bin/su -
sudo:    user1 : 3 incorrect password attempts ; TTY=pts/1 ; PWD=/home/user1 ; USER=root ; COMMAND=/usr/bin/dmesg
sudo:    user1 : TTY=pts/1 ; PWD=/home/user1 ; USER=root ; COMMAND=/usr/bin/dmesg
sudo:    user1 : TTY=pts/1 ; PWD=/home/user1 ; USER=root ; COMMAND=/usr/bin/dmesg
su: pam_unix(su-l:session): session closed for user root
su: pam_unix(su-l:session): session closed for user user1
su: pam_unix(su-l:session): session closed for user user1
su: pam_unix(su-l:session): session closed for user user1
